
package_name                                                package_versions               sources
react-native-datepicker-modal                               1.3.1, 1.3.2                   helixguard, koi, reversinglabs, s…
react-native-email                                          2.1.1, 2.1.2                   datadog, helixguard, koi, reversi…
react-native-fetch                                          2.0.1, 2.0.2                   helixguard, koi, reversinglabs, s…
react-native-get-pixel-dimensions                           1.0.1, 1.0.2                   datadog, helixguard, koi, reversi…
react-native-google-maps-directions                         2.1.2                          datadog, helixguard, koi, reversi…
react-native-jam-icons                                      1.0.1, 1.0.2                   helixguard, koi, reversinglabs, s…
react-native-log-level                                      1.2.1, 1.2.2                   helixguard, koi, reversinglabs, s…
react-native-modest-checkbox                                3.3.1                          helixguard, koi, reversinglabs, s…
react-native-modest-storage                                 2.1.1                          helixguard, koi, reversinglabs, s…
react-native-phone-call                                     1.2.1, 1.2.2                   helixguard, koi, reversinglabs, s…
react-native-retriable-fetch                                2.0.1, 2.0.2                   datadog, helixguard, koi, reversi…
react-native-use-modal                                      1.0.3                          datadog, helixguard, koi, reversi…
react-native-view-finder                                    1.2.1, 1.2.2                   datadog, helixguard, koi, reversi…
react-native-websocket                                      1.0.3, 1.0.4                   datadog, helixguard, koi, reversi…
react-native-worklet-functions                              3.3.3                          datadog, helixguard, koi, reversi…
react-packery-component                                     1.0.3                          datadog, helixguard, koi, socketd…
react-qr-image                                              1.1.1                          helixguard, koi, reversinglabs, s…
react-scrambled-text                                        1.0.4                          datadog, helixguard, koi, socketd…
rediff                                                      1.0.5                          datadog, helixguard, koi, stepsec…
rediff-viewer                                               0.0.7                          datadog, helixguard, koi, socketd…
redux-forge                                                 2.5.3                          helixguard, koi, reversinglabs, s…
redux-router-kit                                            1.2.2, 1.2.3, 1.2.4            datadog, helixguard, koi, reversi…
revenuecat                                                  1.0.1                          datadog, helixguard, koi, socketd…
rollup-plugin-httpfile                                      0.2.1                          helixguard, koi, reversinglabs, s…
sa-company-registration-number-regex                        1.0.1, 1.0.2                   helixguard, koi, reversinglabs, s…
sa-id-gen                                                   1.0.4, 1.0.5                   helixguard, koi, reversinglabs, s…
samesame                                                    1.0.3                          helixguard, koi, reversinglabs, s…
scgs-capacitor-subscribe                                    1.0.11                         helixguard, koi, reversinglabs, s…
scgsffcreator                                               1.0.5                          helixguard, koi, reversinglabs, s…
schob                                                       1.0.3                          datadog, helixguard, koi, stepsec…
selenium-session                                            1.0.5                          helixguard, koi, reversinglabs, s…
selenium-session-client                                     1.0.4                          helixguard, koi, reversinglabs, s…
set-nested-prop                                             2.0.1, 2.0.2                   helixguard, koi, reversinglabs, s…
shelf-jwt-sessions                                          0.1.2                          helixguard, koi, reversinglabs, s…
shell-exec                                                  1.1.3, 1.1.4                   helixguard, koi, reversinglabs, s…
shinhan-limit-scrap                                         1.0.3                          datadog, helixguard, koi, reversi…
silgi                                                       0.43.30                        datadog, helixguard, koi, socketd…
simplejsonform                                              1.0.1                          helixguard, koi, socketdev, steps…
skills-use                                                  0.1.1, 0.1.2                   datadog, helixguard, koi, reversi…
solomon-api-stories                                         1.0.2                          helixguard, koi, socketdev, steps…
solomon-v3-stories                                          1.15.6                         helixguard, koi, stepsecurity, wiz
solomon-v3-ui-wrapper                                       1.6.1                          helixguard, koi, socketdev, steps…
soneium-acs                                                 1.0.1                          helixguard, koi, socketdev, steps…
sort-by-distance                                            2.0.1                          helixguard, koi, reversinglabs, s…
south-african-id-info                                       1.0.2                          helixguard, koi, reversinglabs, s…
stat-fns                                                    1.0.1                          helixguard, koi, reversinglabs, s…
stoor                                                       2.3.2                          helixguard, koi, reversinglabs, s…
sufetch                                                     0.4.1                          helixguard, koi, socketdev, steps…
super-commit                                                1.0.1                          datadog, helixguard, koi, reversi…
svelte-autocomplete-select                                  1.1.1                          helixguard, koi, reversinglabs, s…
svelte-toasty                                               1.1.2, 1.1.3                   helixguard, koi, reversinglabs, s…
tanstack-shadcn-table                                       1.1.5                          datadog, helixguard, koi, reversi…
tavily-module                                               1.0.1                          helixguard, koi, socketdev, steps…
tcsp                                                        2.0.2                          datadog, helixguard, koi, reversi…
tcsp-draw-test                                              1.0.5                          datadog, helixguard, koi, reversi…
tcsp-test-vd                                                2.4.4                          datadog, helixguard, koi, reversi…
template-lib                                                1.1.3, 1.1.4                   helixguard, koi, reversinglabs, s…
template-micro-service                                      1.0.2, 1.0.3                   datadog, helixguard, koi, reversi…
tenacious-fetch                                             2.3.2, 2.3.3                   helixguard, koi, reversinglabs, s…
test-foundry-app                                            1.0.1, 1.0.2, 1.0.3, 1.0.4     helixguard, koi, reversinglabs, s…
test-hardhat-app                                            1.0.1, 1.0.2, 1.0.3, 1.0.4     datadog, helixguard, koi, reversi…
test23112222-api                                            1.0.1                          datadog, helixguard, koi, reversi…
tiaan                                                       1.0.2                          datadog, helixguard, koi, reversi…
tiptap-shadcn-vue                                           0.2.1                          datadog, helixguard, koi, socketd…
token.js-fork                                               0.7.32                         helixguard, koi, reversinglabs, s…
toonfetch                                                   0.3.2                          helixguard, koi, socketdev, steps…
trigo-react-app                                             4.1.2                          helixguard, koi, reversinglabs, s…
ts-relay-cursor-paging                                      2.1.1                          helixguard, koi, socketdev, steps…
typeface-antonio-complete                                   1.0.5                          helixguard, koi, socketdev, steps…
typefence                                                   1.2.2, 1.2.3                   helixguard, koi, reversinglabs, s…
typeorm-orbit                                               0.2.27                         helixguard, koi, reversinglabs, s…
unadapter                                                   0.1.3                          helixguard, koi, socketdev, steps…
undefsafe-typed                                             1.0.3, 1.0.4                   datadog, helixguard, koi, reversi…
unemail                                                     0.3.1                          datadog, helixguard, koi, socketd…
uniswap-router-sdk                                          1.6.2                          helixguard, koi, socketdev, steps…
uniswap-smart-order-router                                  3.16.26                        helixguard, koi, stepsecurity, wiz
uniswap-test-sdk-core                                       4.0.8                          helixguard, koi, socketdev, steps…
unsearch                                                    0.0.3                          datadog, helixguard, koi, socketd…
uplandui                                                    0.5.4                          helixguard, koi, reversinglabs, s…
upload-to-play-store                                        1.0.1, 1.0.2                   helixguard, koi, reversinglabs, s…
url-encode-decode                                           1.0.1, 1.0.2                   datadog, helixguard, koi, reversi…
use-unsaved-changes                                         1.0.9                          helixguard, koi, reversinglabs, s…
v-plausible                                                 1.2.1                          datadog, helixguard, koi, socketd…
valid-south-african-id                                      1.0.3                          helixguard, koi, reversinglabs, s…
valuedex-sdk                                                3.0.5                          helixguard, koi, socketdev, steps…
vf-oss-template                                             1.0.1, 1.0.2, 1.0.3, 1.0.4     datadog, helixguard, koi, reversi…
victoria-wallet-constants                                   0.1.1, 0.1.2                   datadog, helixguard, koi, socketd…
victoria-wallet-core                                        0.1.1, 0.1.2                   datadog, helixguard, koi, socketd…
victoria-wallet-type                                        0.1.1, 0.1.2                   datadog, helixguard, koi, stepsec…
victoria-wallet-utils                                       0.1.1, 0.1.2                   datadog, helixguard, koi, stepsec…
victoria-wallet-validator                                   0.1.1, 0.1.2                   datadog, helixguard, koi, socketd…
victoriaxoaquyet-wallet-core                                0.2.1, 0.2.2                   datadog, helixguard, koi, stepsec…
vite-plugin-httpfile                                        0.2.1                          helixguard, koi, reversinglabs, s…
vue-browserupdate-nuxt                                      1.0.5                          helixguard, koi, socketdev, steps…
wallet-evm                                                  0.3.1, 0.3.2                   datadog, helixguard, koi, stepsec…
wallet-type                                                 0.1.1, 0.1.2                   datadog, helixguard, koi, stepsec…
web-scraper-mcp                                             1.1.4                          datadog, helixguard, koi, reversi…
web-types-htmx                                              0.1.1                          helixguard, koi, reversinglabs, s…
web-types-lit                                               0.1.1                          helixguard, koi, reversinglabs, s…
webpack-loader-httpfile                                     0.2.1                          helixguard, koi, reversinglabs, s…
wellness-expert-ng-gallery                                  5.1.1                          helixguard, koi, reversinglabs, s…
wenk                                                        1.0.10, 1.0.9                  helixguard, koi, reversinglabs, s…
zapier-async-storage                                        1.0.1, 1.0.2, 1.0.3            datadog, helixguard, koi, reversi…
zapier-platform-cli                                         18.0.2, 18.0.3, 18.0.4         datadog, helixguard, koi, reversi…
zapier-platform-core                                        18.0.2, 18.0.3, 18.0.4         datadog, helixguard, koi, reversi…
zapier-platform-legacy-scripting-runner                     4.0.2, 4.0.3, 4.0.4            datadog, helixguard, koi, reversi…
zapier-platform-schema                                      18.0.2, 18.0.3, 18.0.4         datadog, helixguard, koi, reversi…
zapier-scripts                                              7.8.3, 7.8.4                   helixguard, koi, reversinglabs, s…
zuper-cli                                                   1.0.1                          datadog, helixguard, koi, reversi…
zuper-sdk                                                   1.0.57                         datadog, koi, reversinglabs, sock…
zuper-stream                                                2.0.9                          datadog, helixguard, koi, reversi…

